doc,so_hieu,loai,co_quan,ky_tu,ty_le_dau,ngay,ngay_iso,ngay_hop_le,nguoi_ky,hoc_ham,chuc_danh,can_cu,hieu_luc,loai_hieu_luc,so_dieu,so_khoan,rac
0082,2347/QĐ-ĐHBK,QĐ,ĐHBK,33284,0.2851380828908919,ngày 14 tháng 11 năm 2018,2018-11-14,True,Đoàn Quang Vinh,PGS.TS,Hiệu trưởng,5,0,,28,91,
0093,24/2018/QH14,L,QH14,64950,0.2570728589688965,"Luật này được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV,
kỳ họp thứ 5 thông qua ngày 12 tháng 6 năm 2018",2018-06-12,True,Nguyễn Thị Kim Ngân,,Chủ tịch,1,0,,43,164,
0153,3/2014/TT-BTTTT,TT,BTTTT,112691,0.26336493450297,Ngày 02-4-2014,2014-04-02,True,Nguyễn Bắc Son,,Bộ trưởng,2,0,,4,7,
0244,86/2015/QH13,L,QH13,61013,0.26720278006727405,"Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 10 thông qua ngày 19 tháng 11 năm 2015",2015-11-19,True,Giang Sơn,,Phó chủ nhiệm,1,0,,54,212,
0255,53/2022/NĐ-VP,NĐ,VP,74258,0.2649428517893948,Ngày 08-5-2023,2023-05-08,True,Vũ Đức Đam,,Phó thủ tướng,6,0,,30,155,
0277,738/QĐ-ĐHĐN,QĐ,ĐHĐN,106462,0.2892593973105485,ngày 22 tháng 01 năm 2024,2024-01-22,True,Nguyễn Ngọc Vũ,PGS.TS,Giám đốc,6,0,,3,58,
0396,60/2024/QH15,L,QH15,47770,0.28959741404642964,"Luật này được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XV, kỳ họp thứ 8 thông qua ngày 30 tháng 11 năm 2024",2024-11-30,True,Trần Thanh Mẫn,,Chủ tịch,1,3,"AMENDED_BY,AMENDS",46,185,
0420,899/QĐ-BGDĐT,QĐ,BGDĐT,11132,0.26751430387794023,ngày 04 tháng 04 năm 2025,2025-04-04,True,Nguyễn Kim Sơn,,Bộ trưởng,1,0,,3,3,
0439,2453/QĐ-ĐHBK,QĐ,ĐHBK,84591,0.2874523214520584,ngày 26 tháng 6 năm 2025,2025-06-26,True,Ngụyễn Mạnh Toàn,PGS.TS,Phó giám đốc,12,1,AMENDED_BY,31,100,
0455,191/QĐ-ĐHĐN,QĐ,ĐHĐN,44023,0.2878417803107402,ngày 16 tháng 01 năm 2026,2026-01-16,True,Nguyễn Ngọc Vũ,PGS.TS,Giám đốc,3,0,,3,7,
0481,49/2026/TT-BGDĐT,TT,BGDĐT,34851,0.29461444308445534,ngày 30 tháng 06 năm 2026,2026-06-30,True,Lê Quân,,Thứ trưởng,7,0,,22,75,
0482,1866/QĐ-BGDĐT,QĐ,BGDĐT,200769,0.29197979812370445,ngày 29 tháng 06 năm 2026,2026-06-29,True,Hoàng Minh Sơn,,Bộ trưởng,11,0,,3,52,
0483,1829/QĐ-BGDĐT,QĐ,BGDĐT,47392,0.28972540461902163,ngày 26 tháng 06 năm 2026,2026-06-26,True,Hoàng Minh Sơn,,Thứ trưởng,10,0,,17,63,
0001,78/2020/NĐ-CP,NĐ,CP,38513,0.3016130193706344,ngày 06 tháng 7 năm 2020,2020-07-06,True,Nguyễn Xuân Phúc,,Thủ tướng,3,0,,27,95,
0002,79/2020/NĐ-CP,NĐ,CP,21852,0.3109174195190228,ngày 08 tháng 7 năm 2020,2020-07-08,True,Nguyễn Xuân Phúc,,Phó thủ tướng,2,0,,12,37,
0004,861/QĐ-TTG,QĐ,TTg,81347,0.21892766393068022,ngày 04 tháng 6 năm 2021,2021-06-04,True,Trương Hòa Bình,,Phó thủ tướng,3,1,REPLACES,5,0,
0005,10/2016/TT-BGDĐT,TT,BGDĐT,37719,0.2853200682618641,ngày 05 tháng 4 năm 2016,2016-04-05,True,Nguyễn Thị Nghĩa,,Thứ trưởng,5,2,AMENDS,26,98,
0006,30/2018/TT-BGDĐT,TT,BGDĐT,30213,0.2942191544434858,ngày 24 tháng 12 năm 2018,2018-12-24,True,Nguyễn Văn Phúc,,Thứ trưởng,5,2,"AMENDS,REPLACES",20,62,
0007,1325/QĐ-BGDĐT,QĐ,BGDĐT,2722,0.29956188389923327,ngày 25 tháng 4 năm 2016,2016-04-25,True,Nguyễn Thị Nghĩa,,Thứ trưởng,4,1,AMENDS,3,0,
0008,35/2011/TT-BGDĐT,TT,BGDĐT,10162,0.2952638700947226,ngày 11 tháng 8 năm 2011,2011-08-11,True,Trần Quang Quý,,Thứ trưởng,3,0,,11,24,
0009,28/VBHN-BGDĐT,VBHN,BGDĐT,12938,0.2917609046849758,Ngày 02-02-2015,2015-02-02,True,Phạm Mạnh Hùng,,Thứ trưởng,5,4,"AMENDED_BY,AMENDS",4,7,
0010,16/2015/TT-BGDĐT,TT,BGDĐT,15524,0.31307100859339665,Ngày 30-8-2015,2015-08-30,True,Nguyễn Thị Nghĩa,,Thứ trưởng,4,2,AMENDS,19,48,
0011,9/2016/TTLT-BGDĐT-BTC-BLĐTBXH,TTLT,BGDĐT-BTC-BLĐTBXH,65151,0.29836613861833633,ngày 30 tháng 3 năm 2016,2016-03-30,True,Bùi Văn Ga,,Thứ trưởng,4,4,AMENDS,9,39,
0012,2721/QĐ-ĐHĐN,QĐ,ĐHĐN,44571,0.28448407023095884,ngày 10 tháng 8 năm 2018,2018-08-10,True,Nguyễn Ngọc Vũ,PGS.TS,Giám đốc,4,0,,27,98,
0013,973/QĐ-ĐHĐN,QĐ,ĐHĐN,52709,0.28588645235662447,ngày 20 tháng 3 năm 2020,2020-03-20,True,Nguyễn Ngọc Vũ,PGS.TS,Giám đốc,5,1,AMENDED_BY,30,120,
0014,3758/QĐ-ĐHĐN,QĐ,ĐHĐN,17355,0.30487119813819114,ngày 04 tháng 4 năm 1994,1994-04-04,True,Ngô Văn Dưỡng,PGS.TS,Phó giám đốc,3,0,,19,35,
0015,2900/QĐ-ĐHĐN,QĐ,ĐHĐN,22622,0.3026023198509526,ngày 27 tháng 8 năm 2020,2020-08-27,True,Ngô Văn Dưỡng,PGS.TS,Phó giám đốc,4,0,,21,46,
0017,1001/QĐ-ĐHBK,QĐ,ĐHBK,62990,0.28134931942222124,ngày 16 tháng 4 năm 2021,2021-04-16,True,Đoàn Quang Vinh,PGS.TS,Hiệu trưởng,8,1,AMENDED_BY,32,157,
0018,1414/QĐ-ĐHBK,QĐ,ĐHBK,18961,0.29086972212197765,ngày 14 tháng 5 năm 2021,2021-05-14,True,Bách Xhoa,,Hiệu trưởng,6,1,REPLACES,18,49,
0062,2231/QĐ-ĐHBK,QĐ,ĐHBK,32055,0.2787368600974276,ngày 10 tháng 9 năm 2021,2021-09-10,True,Đoàn Quang Vinh,PGS.TS,Hiệu trưởng,10,0,,21,81,
0069,1216/QĐ-ĐHBK,QĐ,ĐHBK,85296,0.27854739929267663,ngày 22 tháng 4 năm 2022,2022-04-22,True,Đoàn Quang Vinh,PGS.TS,Hiệu trưởng,9,0,,3,65,
0070,1088/QĐ-ĐHBK,QĐ,ĐHBK,3172,0.31897341888175984,ngày 13 tháng 4 năm 2022,2022-04-13,True,Đoàn Quang Vinh,PGS.TS,Hiệu trưởng,10,0,,3,2,
0074,3337/QĐ-ĐHBK,QĐ,ĐHBK,34725,0.29296377020191633,ngày 14 tháng 12 năm 2021,2021-12-14,True,Đoàn Quang Vinh,PGS.TS,Hiệu trưởng,7,0,,19,52,
0095,78/2015/QH13,L,QH13,47050,0.29277599766967666,"Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 9 thông qua ngày 19 tháng 6 năm 2015",2015-06-19,True,Giang Sơn,,Phó chủ nhiệm,1,0,,62,160,
0124,5/2022/QĐ-TTG,QĐ,TTg,4181,0.2911032028469751,ngày 23 tháng 3 năm 2022,2022-03-23,True,Lê Minh Khái,,Phó thủ tướng,6,1,AMENDS,3,9,
0190,7/2022/TT-BGDĐT,TT,BGDĐT,25463,0.2820390155743369,ngày 23 tháng 5 năm 2022,2022-05-23,True,Ngô Thị Minh,,Thứ trưởng,3,1,REPLACES,15,64,
0209,57/2020/QH14,L,QH14,30484,0.2712375635888894,"Luật này được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIV, kỳ họp thứ 9 thông qua ngày 16 tháng 6 năm 2020",2020-06-16,True,Nguyễn Thị Kim Ngân,,Chủ tịch,1,0,,41,147,
0250,33/2018/TT-BGDĐT,TT,BGDĐT,31358,0.2967871693053478,ngày 10 tháng 2 năm 2019,2019-02-10,True,Nguyễn Thị Nghĩa,,Thứ trưởng,6,0,,19,66,
