page,id,linh_vuc,ten_van_ban,so_hieu,ngay_ban_hanh,ngay_hieu_luc,co_quan_ban_hanh,loai,tinh_trang,pdf_url,download_status
1,"ID LĨNH VỰC TÊN VĂN BẢN SỐ HIỆU NGÀY BAN HÀNH NGÀY HIỆU LỰC CƠ QUAN BAN HÀNH LOẠI TÌNH TRẠNG TẢI VỀ 0494 Đào tạo Quy chế văn bằng, chứng chỉ của Đại học Đà Nẵng New 3107/QĐ-ĐHĐN 10/08/2026 10/08/2026 Đại học Đà Nẵng Quy chế Còn hiệu lực 0491 Đào tạo Thông tư quy định quy trình biên soạn, ban hành chương trình, giáo trình dạy và học các môn học, học phần bắt buộc sử dụng chung trong chương trình đào tạo các trình độ của giáo dục đại học New 62/2026/TT-BGDĐT 28/07/2026 28/07/2026 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0493 Học liệu, truyền thông Thông tư quy định về khai thác, sử dụng tài nguyên giáo dục mở trong hoạt động giáo dục đại học New 61/2026/TT-BGDĐT 17/07/2026 17/07/2026 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0492 Đào tạo Thông tư ban hành Quy chế đào tạo trình độ đại học 56/2026/TT-BGDĐT 07/07/2026 07/07/2026 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0490 Tuyển sinh Thông tư ban hành Quy chế tuyển sinh và đào tạo sau đại học 53/2026/TT-BGDĐT 30/06/2026 30/06/2026 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0481 Công nghệ thông tin, CĐS Thông tư quy định ứng dụng công nghệ trong giáo dục đại học, giáo dục nghề nghiệp 49/2026/TT-BGDĐT 30/06/2026 30/06/2026 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0485 Tổ chức, hành chính Nghị định quy định về tuyển dụng, sử dụng và quản lý viên chức 259/2026/NĐ-CP 30/06/2026 30/06/2026 Chính phủ Nghị định Còn hiệu lực 0482 Công nghệ thông tin, CĐS Quyết định ban hành Khung kiến trúc dữ liệu, Khung quản trị, quản lý dữ liệu Bộ Giáo dục và Đào tạo (ver 1.0) 1866/QĐ-BGDĐT 29/06/2026 29/06/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0483 Công nghệ thông tin, CĐS Quyết định ban hành quy định cơ chế thử nghiệm có kiểm soát đối với ứng dụng công nghệ thực - ảo trong giáo dục 1829/QĐ-BGDĐT 26/06/2026 26/06/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0486 Tổ chức, hành chính Nghị định quy định về vị trí việc làm viên chức 232/2026/NĐ-CP 26/06/2026 26/06/2026 Chính phủ Nghị định Còn hiệu lực",ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/Nghi dinh so 232_2026_ND-CP_Quy dinh ve vi tri viec lam vien chuc.pdf,DOWNLOADED
1,ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,TÌNH TRẠNG,,NO_PDF
1,0494,Đào tạo,"Quy chế văn bằng, chứng chỉ của Đại học Đà Nẵng New",3107/QĐ-ĐHĐN,10/08/2026,10/08/2026,Đại học Đà Nẵng,Quy chế,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/QC VBCC DHDN.pdf,DOWNLOADED
1,0491,Đào tạo,"Thông tư quy định quy trình biên soạn, ban hành chương trình, giáo trình dạy và học các môn học, học phần bắt buộc sử dụng chung trong chương trình đào tạo các trình độ của giáo dục đại học New",62/2026/TT-BGDĐT,28/07/2026,28/07/2026,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1409 - 62 TT QyD quy trinh bien soan BHCtr giao trinh day va hoc cac mon hoc hoc phan bat buoc sd chung trong CTDT cua GDDH.pdf,DOWNLOADED
1,0493,"Học liệu, truyền thông","Thông tư quy định về khai thác, sử dụng tài nguyên giáo dục mở trong hoạt động giáo dục đại học New",61/2026/TT-BGDĐT,17/07/2026,17/07/2026,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1343 - 61 Thong tu QyD ve khai thac su dung tai nguyen giao duc mo trong hoat dong GDDH.pdf,DOWNLOADED
1,0492,Đào tạo,Thông tư ban hành Quy chế đào tạo trình độ đại học,56/2026/TT-BGDĐT,07/07/2026,07/07/2026,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1408 - 56 Thong tu ban hanh Quy che dao tao trinh do dai hoc.pdf,DOWNLOADED
1,0490,Tuyển sinh,Thông tư ban hành Quy chế tuyển sinh và đào tạo sau đại học,53/2026/TT-BGDĐT,30/06/2026,30/06/2026,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1278 - 53.2026 Thong tu ban hanh Quy che TS va dao tao sau dai hoc.pdf,DOWNLOADED
1,0481,"Công nghệ thông tin, CĐS","Thông tư quy định ứng dụng công nghệ trong giáo dục đại học, giáo dục nghề nghiệp",49/2026/TT-BGDĐT,30/06/2026,30/06/2026,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1206 - 49 TT quy dinh ung dung cong nghe trong GDDH giao duc nghe nghiep.pdf,DOWNLOADED
1,0485,"Tổ chức, hành chính","Nghị định quy định về tuyển dụng, sử dụng và quản lý viên chức",259/2026/NĐ-CP,30/06/2026,30/06/2026,Chính phủ,Nghị định,Còn hiệu lực,"http://dut.udn.vn/Files/admin/files/VanbanPhapquy/Nghi dinh so 259_2026_ND-CP_Quy định ve tuyen dung, sư dung va quan ly vien chưc.pdf",DOWNLOADED
1,0482,"Công nghệ thông tin, CĐS","Quyết định ban hành Khung kiến trúc dữ liệu, Khung quản trị, quản lý dữ liệu Bộ Giáo dục và Đào tạo (ver 1.0)",1866/QĐ-BGDĐT,29/06/2026,29/06/2026,Bộ Giáo dục và Đào tạo,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1866_QD_BGDDT.signed.pdf,DOWNLOADED
1,0483,"Công nghệ thông tin, CĐS",Quyết định ban hành quy định cơ chế thử nghiệm có kiểm soát đối với ứng dụng công nghệ thực - ảo trong giáo dục,1829/QĐ-BGDĐT,26/06/2026,26/06/2026,Bộ Giáo dục và Đào tạo,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1196 - 1829 QDBH quy dinh co che thu nghiem co kiem soat doi voi ung dung CN thuc - ao trong giao duc.pdf,DOWNLOADED
1,0486,"Tổ chức, hành chính",Nghị định quy định về vị trí việc làm viên chức,232/2026/NĐ-CP,26/06/2026,26/06/2026,Chính phủ,Nghị định,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/Nghi dinh so 232_2026_ND-CP_Quy dinh ve vi tri viec lam vien chuc.pdf,DOWNLOADED
2,"ID LĨNH VỰC TÊN VĂN BẢN SỐ HIỆU NGÀY BAN HÀNH NGÀY HIỆU LỰC CƠ QUAN BAN HÀNH LOẠI TÌNH TRẠNG TẢI VỀ 0480 Tuyển sinh Quyết định ban hành Quy chế tuyển sinh đào tạo trình độ đại học hình thức thường xuyên, phương thức tổ chức đào tạo kết hợp giữa trực tiếp và từ xa của ĐHĐN 2414/QĐ-ĐHĐN 19/06/2026 19/06/2026 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực 0479 Thi đua, khen thưởng Quyết định ban hành Quy chế tổ chức và hoạt động của Hội đồng Thi đua - Khen thưởng Bộ Giáo dục và Đào tạo 1609/QĐ-BGDĐT 12/06/2026 12/06/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0478 Tổ chức, hành chính Quyết định ban hành Quy chế thực hiện dân chủ trong hoạt động của Đại học Đà Nẵng 2152/QĐ-ĐHĐN 04/06/2026 04/06/2026 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực 0487 Tổ chức, hành chính Nghị định quy định chế độ phụ cấp ưu đãi theo nghề đối với nhà giáo, cán bộ quản lý cơ sở giáo dục và nhân sự hỗ trợ giáo dục công tác trong cơ sở giáo dục công lập 182/2026/NĐ-CP 22/05/2026 22/05/2026 Chính phủ Nghị định Còn hiệu lực 0489 Đào tạo Quyết định ban hành Quy định về tổ chức và quản lý liên kết đào tạo với nước ngoài tại các đơn vị thuộc, trực thuộc Đại học Đà Nẵng 1841/QĐ-ĐHĐN 14/05/2026 14/05/2026 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực 0477 Học liệu, truyền thông Quyết định ban hành Quy chế quản lý, vận hành và cung cấp thông tin trên Cổng Thông tin điện tử của Bộ Giáo dục và Đào tạo 1099/QĐ-BGDĐT 07/05/2026 07/05/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0474 Đào tạo Quyết định ban hành Chuẩn chương trình đào tạo về đường sắt trình độ đại học 1061/QĐ-BGDĐT 04/05/2026 04/05/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0475 Đào tạo Quyết định ban hành Chuẩn chương trình đào tạo trình độ đại học các ngành về điện hạt nhân 1050/QĐ-BGDĐT 04/05/2026 04/05/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0476 Tổ chức, hành chính Quyết định công bố thủ tục hành chính được sửa đổi, bổ sung hoặc thay thế; thủ tục hành chính bị bãi bỏ lĩnh vực giáo dục đại học thuộc phạm vi, chức năng quản lý của Bộ Giáo dục và Đào tạo 1060/QĐ-BGDĐT 04/05/2026 04/05/2026 Bộ Giáo dục và Đào tạo Quyết định, Quy định Còn hiệu lực 0468 Tuyển sinh Quyết định ban hành Quy chế tuyển sinh các ngành đào tạo trình độ đại học hình thức đào tạo chính quy của Đại học Đà Nẵng 1478/QĐ-ĐHĐN 16/04/2026 16/04/2026 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực",ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/652 QD ban hanh Quy che TS cac nganh dao tao trinh do dai hoc hinh thuc DTCQ cua DHDN.pdf,DOWNLOADED
2,ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,TÌNH TRẠNG,,NO_PDF
2,0480,Tuyển sinh,"Quyết định ban hành Quy chế tuyển sinh đào tạo trình độ đại học hình thức thường xuyên, phương thức tổ chức đào tạo kết hợp giữa trực tiếp và từ xa của ĐHĐN",2414/QĐ-ĐHĐN,19/06/2026,19/06/2026,Đại học Đà Nẵng,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1125 - 2414 QDBH quy che TSDT trinh do dai hoc hinh thuc TX phuong thuc to chuc DT ket hop giua truc tiep va tu xa cua DHDN.pdf,DOWNLOADED
2,0479,"Thi đua, khen thưởng",Quyết định ban hành Quy chế tổ chức và hoạt động của Hội đồng Thi đua - Khen thưởng Bộ Giáo dục và Đào tạo,1609/QĐ-BGDĐT,12/06/2026,12/06/2026,Bộ Giáo dục và Đào tạo,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/1045 - 1609 QD ban hanh Quy che to chuc va hoat dong cua Hoi dong Thi dua - Khen thuong Bo GD va DT.pdf,DOWNLOADED
